"","county_name","urbanicity","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"107","Banner County","rural",0,20.29,1.36,7.85,1.36,30.86
"108","Bannock County","small/mid",58.08,964.87,198.55,1159.03,198.55,2579.08
"109","Baraga County","rural",0,0,0,0,0,0
"110","Barber County","rural",0,0,0,0,0,0
"111","Barbour County","rural",1.08,3775.43,1296.53,86.63,4944.53,10104.2
"112","Barnes County","rural",0,16.5,26,36.87,26,105.37
"113","Barnstable County","small/mid",2.89,934.82,1902.92,121.85,2230.92,5193.4
"114","Barnwell County","rural",0,2715.09,1460,0,4146,8321.09
"115","Barren County","rural",16.01,666.5,465.43,37.57,1035.43,2220.94
"116","Barron County","rural",28.86,105.34,149.88,259.44,158.88,702.4
"117","Barrow County","suburban",71.04,2834.19,1967.9,0,4356.9,9230.03
"118","Barry County","rural",0,55.5,118.5,0,16.5,190.5
"119","Barry County","suburban",0,247.5,19,0,219,485.5
"120","Bartholomew County","small/mid",17.4,794,686,0,1013,2510.4
"121","Barton County","rural",0,195.26,156.69,9.5,156.69,518.14
"122","Bartow County","suburban",20.25,4808.46,4317.7,0,8086.7,17233.11
"123","Bastrop County","suburban",17.69,3926.37,2929.56,5.95,3192.56,10072.13
"124","Bates County","suburban",0,398.86,506.96,0,519.96,1425.78
"125","Bath County","rural",2.76,45.36,217.28,12.35,217.28,495.03
"126","Baxter County","rural",0,0,19,0,19,38
"127","Bay County","small/mid",181.25,18104.42,11100.34,104.32,26265.34,55755.67
"128","Bayfield County","rural",0,0,36.05,352.5,36.05,424.6
"129","Baylor County","rural",0,152.61,117.72,0,150.72,421.05
"130","Beadle County","rural",5,94.23,60.62,142.79,97.62,400.26
"131","Bear Lake County","rural",0,0,0,0,0,0
"132","Beaufort County","rural",0,3974,1807.69,0,5586.69,11368.38
"133","Beaufort County","small/mid",5.45,8502.73,3579.41,3.57,11432.41,23523.57
"134","Beauregard Parish","rural",539.56,746.73,1660,0,2310,5256.29
"135","Beaver County","rural",133.22,1060.48,340,262.31,284,2080.01
"136","Beaver County","suburban",12.26,4031.86,3679.96,11.14,7599.96,15335.18
"137","Beaverhead County","rural",0,19.05,0,9.56,0,28.61
"138","Becker County","rural",3.73,25.7,52.59,1446.64,46.59,1575.25
"139","Beckham County","rural",0,724.5,631,176.1,657,2188.6
"140","Bedford County","rural",0,2660.5,1763.18,0,3912.18,8335.86
"141","Bedford County","small/mid",8.85,1213.03,3552.54,8.08,4692.54,9475.04
"142","Bee County","rural",0,2904.17,3978,0,610,7492.17
"143","Belknap County","rural",17.55,95.05,26.33,0,46.33,185.26
"144","Bell County","rural",0,346,131.17,0,477.17,954.34
"145","Bell County","small/mid",230.2,20315.96,13958.84,43.96,25933.84,60482.8
"146","Belmont County","small/mid",9.5,206,244.6,0,450.6,910.7
"147","Beltrami County","rural",21.12,54.6,59.11,2453.02,98.11,2685.96
"148","Ben Hill County","rural",0,4574,1076,0,5485,11135
"149","Benewah County","rural",0,0,0,109.96,0,109.96
"150","Bennett County","rural",0,0,0,343.66,0,343.66
"151","Bennington County","rural",0,0,0,0,0,0
"152","Benson County","rural",7.23,10.81,13.38,347.07,13.38,391.87
"153","Bent County","rural",0,388.32,297,0,33,718.32
"154","Benton County","rural",0,142.6,243.68,4,378.68,768.96
"155","Benton County","small/mid",407.05,5569.12,3881.44,481.22,3075.44,13414.27
"156","Benton County","suburban",0,162,256.5,0,418.5,837
"157","Benzie County","rural",0,42.46,61.5,34.5,66.5,204.96
"158","Bergen County","suburban",857.84,21394,16795.77,56.72,26428.77,65533.1
"159","Berkeley County","small/mid",28.54,7765.21,5456.48,9.88,12608.48,25868.59
"160","Berks County","small/mid",354.77,21009.33,23305.12,44.35,17293.12,62006.69
"161","Berkshire County","small/mid",67.11,1447.52,2146.11,6,2864.11,6530.85
"162","Bernalillo County","small/mid",268.77,26726.8,5029.28,5159.54,5029.28,42213.67
"163","Berrien County","rural",0,874.5,676.36,0,1484.36,3035.22
"164","Berrien County","small/mid",31.74,20881.26,6496.33,220.59,27126.33,54756.25
"165","Bertie County","rural",0,1566.3,1034.12,4.72,2545.12,5150.26
"166","Bethel Census Area","rural",0,18.75,0,73,0,91.75
"167","Bexar County","urban",301.27,99157.8,135372.48,96.64,55277.48,290205.67
"168","Bibb County","small/mid",64.9,32059.77,16543.31,4.13,48311.31,96983.42
"169","Bibb County","suburban",0,801.45,674.5,0,1378.5,2854.45
"170","Bienville Parish","rural",0,430.12,947.5,0,1302.5,2680.12
"171","Big Horn County","rural",0,50.68,6.36,1245.22,6.36,1308.62
"172","Big Stone County","rural",0,0,0,0,0,0
"173","Billings County","rural",1.59,1.22,1.76,16.22,1.76,22.55
"174","Bingham County","rural",1,756.84,31.56,273,31.56,1093.96
"175","Black Hawk County","small/mid",26.66,6826.32,3346.58,72.36,9596.58,19868.5
"176","Blackford County","rural",1,47.4,142.39,0,159.39,350.18
"177","Bladen County","rural",0,1832.43,1326,101.72,2865,6125.15
"178","Blaine County","rural",0,592.63,209.79,747.93,434.79,1985.14
"179","Blair County","small/mid",18.66,2135.26,1521.04,16.39,3381.04,7072.39
"180","Blanco County","rural",0,101.16,38.37,0,33.37,172.9
"181","Bland County","rural",0.52,36.53,114.64,0,118.64,270.33
"182","Bleckley County","rural",0,1517.5,545.5,0,2046.5,4109.5
"183","Bledsoe County","rural",0,70.58,66,0,89,225.58
"184","Blount County","small/mid",17.42,1285.35,1491.41,3,2347.41,5144.59
"185","Blount County","suburban",0,486,216.83,0,538.83,1241.66
"186","Blue Earth County","small/mid",15.94,372.99,417.61,22.04,556.61,1385.19
"187","Boise County","small/mid",3.82,40.04,14.02,4.19,14.02,76.09
"188","Bolivar County","rural",5,4062.11,6445.06,0,10317.06,20829.23
"189","Bollinger County","small/mid",0,0,2.46,0,2.46,4.92
"190","Bon Homme County","rural",0,23.23,0,17,0,40.23
"191","Bond County","suburban",0,192.74,162,0,333,687.74
"192","Bonner County","rural",9.58,167.45,44.88,81.18,44.88,347.97
"193","Bonneville County","small/mid",81.2,908.32,454.11,102.86,454.11,2000.6
"194","Boone County","rural",0,30.5,30.87,1,38.87,101.24
"195","Boone County","small/mid",95.38,13755.89,3933.5,30.52,16145.5,33960.79
"196","Boone County","suburban",73.06,2430.82,1749.43,21.78,2358.43,6633.52
"197","Borden County","rural",0,23.35,5.46,0,5.46,34.27
"198","Bosque County","rural",0,246.23,350.54,0,199.54,796.31
"199","Bossier Parish","small/mid",152.78,3340.64,12934,27.11,15368,31822.53
"200","Botetourt County","small/mid",7.24,585.65,260.48,3.55,814.48,1671.4
"201","Bottineau County","rural",0,0,0,32.69,0,32.69
"202","Boulder County","small/mid",336.36,3361.73,4183.49,301.72,1712.49,9895.79
"203","Boundary County","rural",0,40.4,13.63,75,13.63,142.66
"204","Bourbon County","rural",0,76.73,137,0,137,350.73
"205","Bourbon County","small/mid",0,353.72,208.43,0,518.43,1080.58
"206","Bowie County","small/mid",31.44,9781.23,9911.55,62,17749.55,37535.77
"207","Bowman County","rural",5.13,3.98,5.52,51.51,5.52,71.66
"208","Box Butte County","rural",0,68.02,108.92,341,25.92,543.86
"209","Box Elder County","small/mid",46.85,621.16,350,65.5,93,1176.51
"210","Boyd County","rural",0,0,0,0,0,0
"211","Boyd County","small/mid",21.08,480.19,477,9.01,911,1898.28
"212","Boyle County","rural",16.14,1069.24,1318.5,16.14,2114.5,4534.52
"213","Bracken County","suburban",1.83,17.19,105.03,2.13,105.03,231.21
"214","Bradford County","rural",23.32,2627.1,1727.2,9.53,3981.2,8368.35
"215","Bradley County","rural",0,35.59,220,0,220,475.59
"216","Bradley County","small/mid",18.08,2092.04,1703.75,23.12,2985.75,6822.74
"217","Branch County","rural",5.45,164.33,114.5,2.04,197.5,483.82
"218","Brantley County","small/mid",0,150.87,93.51,0,200.51,444.89
"219","Braxton County","rural",1.85,4.87,64.3,2.24,64.3,137.56
"220","Brazoria County","suburban",105.06,10835.64,11081.91,0,11971.91,33994.52
"221","Brazos County","small/mid",44.76,13057.43,10641.94,16.52,17248.94,41009.59
"222","Breathitt County","rural",0,42.32,151.69,0,151.69,345.7
"223","Breckinridge County","rural",0,268.54,355.16,0,566.16,1189.86
"224","Bremer County","small/mid",0,37.61,80.44,0,80.44,198.49
"225","Brevard County","small/mid",37.28,23628.69,16585.08,92.21,37283.08,77626.34
"226","Brewster County","rural",0,1016.2,246.76,0,35.76,1298.72
"227","Briscoe County","rural",0,0,13,0,0,13
"228","Bristol Bay Borough","rural",0,0,0,82.5,0,82.5
"229","Bristol city","small/mid",9.86,964.45,729.5,0,1680.5,3384.31
"230","Bristol County","suburban",263.21,7348.21,7487.68,77.56,7592.68,22769.34
"231","Broadwater County","rural",0,60.83,18.27,50.85,18.27,148.22
"232","Brooke County","small/mid",8.89,52.36,225.53,3.31,258.53,548.62
"233","Brookings County","rural",0,96.71,27.86,208.64,80.86,414.07
"234","Brooks County","rural",20.58,3418.88,679.47,0,249.47,4368.4
"235","Brooks County","small/mid",0,708.71,1309.51,6.64,1852.51,3877.37
"236","Broome County","small/mid",110.35,7500.08,5613.37,33.24,11516.37,24773.41
"237","Broomfield County","suburban",12,142,162,9,28,353
"238","Broward County","suburban",1010.81,125912.22,94613.08,342.34,191573.08,413451.53
"239","Brown County","rural",16.92,2561.39,2400.3,920.82,2416.3,8315.73
"240","Brown County","small/mid",351.67,6352.77,5099.42,5595.56,7866.42,25265.84
"241","Brown County","suburban",0,120.99,121.68,0,194.68,437.35
"242","Brule County","rural",0,0,24.48,225.5,24.48,274.46
"243","Brunswick County","rural",1.48,1721.49,1184.07,0.46,2858.07,5765.57
"244","Brunswick County","small/mid",0,2140.79,2294.87,151.96,4007.87,8595.49
"245","Bryan County","rural",0,248.49,266.84,610,335.84,1461.17
"246","Bryan County","small/mid",0,843.1,510.5,21.05,1311.5,2686.15
"247","Buchanan County","rural",1.7,30.55,134.94,1.73,139.94,308.86
"248","Buchanan County","small/mid",0,3936.29,1478.96,45.57,4942.96,10403.78
"249","Buckingham County","small/mid",0,713,0,0,713,1426
"250","Bucks County","suburban",289.47,9401.95,9496.6,78.31,15762.6,35028.93
"251","Buena Vista city","rural",4.03,50.48,103.32,0,140.32,298.15
"252","Buena Vista County","rural",75,227.5,150,64.96,94,611.46
"253","Buffalo County","rural",87.87,330.95,532.86,47.54,295.86,1295.08
"254","Bullitt County","suburban",9.41,213.5,592.22,0,705.22,1520.35
"255","Bulloch County","rural",15.14,8524.41,6431.31,46.37,14665.31,29682.54
"256","Bullock County","rural",0,1694,796,0,2490,4980
"257","Buncombe County","small/mid",49.6,8282.69,4134.29,286.67,11214.29,23967.54
"258","Bureau County","rural",0,229.83,572.55,0,184.55,986.93
"259","Burke County","rural",0,0,0,0,0,0
"260","Burke County","small/mid",63.95,5268.79,3014.71,17.6,7911.71,16276.76
"261","Burleigh County","small/mid",20.86,405.84,375.21,3007.99,498.21,4308.11
"262","Burleson County","small/mid",0,1291.1,833.15,0,1647.15,3771.4
"263","Burlington County","suburban",229.53,11099.83,9197.13,34.75,18393.13,38954.37
"264","Burnet County","rural",2,1003.5,816,5.82,468,2295.32
"265","Burnett County","rural",102.48,29.64,28.68,383.67,32.68,577.15
"266","Burt County","rural",0,25.69,13.31,21.11,13.31,73.42
"267","Butler County","rural",27.2,3893.74,1887.92,23.5,5671.92,11504.28
"268","Butler County","small/mid",32.84,696.64,521.81,10.1,521.81,1783.2
"269","Butler County","suburban",116.02,5874.11,7065.35,36.91,11397.35,24489.74
"270","Butte County","rural",0,15.87,7.09,77.93,7.09,107.98
"271","Butte County","small/mid",469.38,5317.31,4610.45,1343.61,4890.45,16631.2
"272","Butts County","suburban",0,2503,1343.58,0,3470.58,7317.16
"273","Cabarrus County","suburban",13.38,6546.02,3697.86,55.84,9457.86,19770.96
"274","Cabell County","small/mid",6.02,1492.34,847.52,4.63,2271.52,4622.03
"275","Cache County","small/mid",243.94,1398.5,839.5,154.33,225.5,2861.77
"276","Caddo County","rural",0,721.5,619.5,3039,984.5,5364.5
"277","Caddo Parish","small/mid",90.72,12624.31,27208.61,50.75,39460.61,79435
"278","Calaveras County","rural",37.31,202.76,225.6,219.93,34.6,720.2
"279","Calcasieu Parish","small/mid",133.47,5360.82,17045.72,31.51,21508.72,44080.24
"280","Caldwell County","rural",0,545,2.6,0,547.6,1095.2
"281","Caldwell County","small/mid",12.58,1373.83,1274.11,0,2362.11,5022.63
"282","Caldwell County","suburban",155.82,3143.56,4373.64,0,3100.64,10773.66
"283","Caldwell Parish","rural",0,237.33,1714.5,0,1918.5,3870.33
"284","Caledonia County","rural",0,0,0,0,0,0
"285","Calhoun County","rural",6.48,4014.53,2738.93,14.92,4988.93,11763.79
"286","Calhoun County","small/mid",497.38,24895.39,12540.8,153.85,35405.8,73493.22
"287","Calhoun County","suburban",0,6.63,5.72,0,5.72,18.07
"288","Callahan County","small/mid",0,90.35,65,0,15,170.35
"289","Callaway County","small/mid",8.56,1477.8,635.86,0,2034.86,4157.08
"290","Calloway County","rural",9.5,545.5,723.5,19,1214.5,2512
"291","Calumet County","small/mid",47.73,159.5,210.5,85.92,226.5,730.15
"292","Calvert County","suburban",4.92,3464.95,2155.52,0,5579.52,11204.91
"293","Camas County","rural",0,0,0,0,0,0
"294","Cambria County","small/mid",17.24,2807.15,3580.63,3.28,6036.63,12444.93
"295","Camden County","rural",18.69,2092.79,2720.57,1.01,4508.57,9341.63
"296","Camden County","suburban",397.02,61333.4,43923.97,73.51,77173.97,182901.87
"297","Cameron County","rural",0,0,0,0,0,0
"298","Cameron County","small/mid",34.04,27789.43,27715.03,18.15,591.03,56147.68
"299","Cameron Parish","small/mid",0,94.62,130.5,0,191.5,416.62
"300","Camp County","rural",0,858,303.33,0,1033.33,2194.66
"301","Campbell County","rural",8,443.5,897.7,192.8,756.7,2298.7
"302","Campbell County","small/mid",7.04,1723.13,2954.99,10.09,4603.99,9299.24
"303","Campbell County","suburban",19,2334.38,2224,0,4239,8816.38
"304","Canadian County","suburban",16.3,1783.5,907,995.98,1510,5212.78
"305","Candler County","rural",0,1476.5,525,0,1831,3832.5
"306","Cannon County","suburban",0,75,47.31,0,122.31,244.62
"307","Canyon County","small/mid",62.34,4321.43,145.88,111.85,145.88,4787.38
"308","Cape Girardeau County","small/mid",0,4242.4,1897.79,0,5930.79,12070.98
"309","Cape May County","small/mid",12.69,5147.15,3069.78,4.25,6387.78,14621.65
"310","Carbon County","rural",20,398.5,720.21,141.07,116.21,1395.99
"311","Carbon County","small/mid",120,428.15,406.57,112.63,501.57,1568.92
"312","Caribou County","rural",0,61.5,16.5,45,16.5,139.5
"313","Carlisle County","rural",0.5,41.24,837.73,4.17,851.73,1735.37
"314","Carlton County","small/mid",42.31,191.77,94.44,640.02,132.44,1100.98
"315","Caroline County","rural",44.33,3012.13,1034.87,0,3919.87,8011.2
"316","Caroline County","suburban",62.5,2038.5,4041.5,9.33,5311.5,11463.33
"317","Carroll County","rural",37.25,2419.36,4054.54,19.19,6055.54,12585.88
"318","Carroll County","small/mid",0,70.5,83.45,0,54.45,208.4
"319","Carroll County","suburban",117.49,10171.75,9673.02,23.65,19017.02,39002.93
"320","Carson City","small/mid",46.12,487.53,994.91,378.66,374.91,2282.13
"321","Carson County","small/mid",0,204.73,303.19,56.86,172.19,736.97
"322","Carter County","rural",40.76,2488.58,1593.77,688.14,3672.77,8484.02
"323","Carter County","small/mid",10.29,2381.49,198.67,8.07,2504.67,5103.19
"324","Carteret County","rural",65.2,1437,738,16,2059,4315.2
"325","Carver County","suburban",162.14,583.5,423,26.05,422,1616.69
"326","Cascade County","small/mid",129.94,742.61,451.5,2825.35,451.5,4600.9
"327","Casey County","rural",0,125,559,0,555,1239
"328","Cass County","rural",22.01,2675.31,1704.49,1646,3745.49,9793.3
"329","Cass County","small/mid",75.38,3118.63,2061.87,1693.59,4039.87,10989.34
"330","Cass County","suburban",9.87,873.14,763.72,0,1309.72,2956.45
"331","Cassia County","rural",14.46,869.38,27.9,46.77,27.9,986.41
"332","Castro County","rural",0,429,706.68,0,133.68,1269.36
"333","Caswell County","rural",0,521.5,635.5,0,1127.5,2284.5
"334","Catahoula Parish","rural",9.53,378.86,8928.5,0,9229.5,18546.39
"335","Catawba County","small/mid",313.19,3721.37,2647.26,75.05,5719.26,12476.13
"336","Catoosa County","small/mid",0,703.84,425.85,0,1031.85,2161.54
"337","Catron County","rural",0,48.5,0,12.42,0,60.92
"338","Cattaraugus County","rural",0,707.29,786.93,649.49,1219.93,3363.64
"339","Cavalier County","rural",0,0,0,0,0,0
"340","Cayuga County","rural",27.53,2496.41,1269,26.4,3043,6862.34
"341","Cecil County","suburban",15.72,2281.66,1687.4,18.86,3741.4,7745.04
"342","Cedar County","rural",0,44.13,178,0,178,400.13
"343","Centre County","small/mid",22.5,993.92,629.5,0,1476.5,3122.42
"344","Cerro Gordo County","rural",0,369.73,300.5,0,471.5,1141.73
"345","Chaffee County","rural",0,208,161.5,9.5,30.5,409.5
"346","Chambers County","rural",0,4987.31,2560.33,0,7521.33,15068.97
"347","Chambers County","suburban",9.5,2028.14,1202.5,0,2484.5,5724.64
"348","Champaign County","rural",3.9,207.6,93.39,0,280.39,585.28
"349","Champaign County","small/mid",33.66,15924.79,4776.74,17.88,20130.74,40883.81
"350","Chariton County","rural",7.56,110.24,66.5,0,157.5,341.8
"351","Charles City County","suburban",11.81,578.54,1757.82,3.77,2209.82,4561.76
"352","Charles County","suburban",48.11,12145.6,6551.18,36.1,18561.18,37342.17
"353","Charles Mix County","rural",0,24.04,23.25,1126.69,23.25,1197.23
"354","Charleston County","small/mid",129.87,42111.31,26908.13,106.99,67044.13,136300.43
"355","Charlevoix County","rural",50.79,35.68,0,131.5,19,236.97
"356","Charlotte County","rural",10.62,665.79,776.5,0,1362.5,2815.41
"357","Charlotte County","small/mid",59.99,3922.07,2982,7.41,5553,12524.47
"358","Charlottesville city","small/mid",0,5301,14,0,5301,10616
"359","Charlton County","rural",0,789,99,0,888,1776
"360","Chase County","rural",49.71,864.88,428.18,0,428.18,1770.95
"361","Chatham County","small/mid",130.21,56474.22,31026.03,39.41,85922.03,173591.9
"362","Chattahoochee County","small/mid",0,69,0,0,69,138
"363","Chattooga County","rural",0,1252.57,395,0,1516,3163.57
"364","Chautauqua County","rural",18.78,2429.55,2487.24,88.81,3069.24,8093.62
"365","Chaves County","rural",88.91,4096.63,395.93,105.69,395.93,5083.09
"366","Cheatham County","suburban",0,277.24,198,0,405,880.24
"367","Cheboygan County","rural",0,39,69.72,154.81,108.72,372.25
"368","Chelan County","small/mid",40.57,1769.1,1598.98,683.35,184.98,4276.98
"369","Chemung County","small/mid",25.32,3684.11,3050.92,13,6070.92,12844.27
"370","Chenango County","rural",0,313.73,331.5,0,365.5,1010.73
"371","Cherokee County","rural",35.24,9334.85,4203.77,1613.98,11943.77,27131.61
"372","Cherokee County","suburban",60.51,3211.76,4256,2,5828,13358.27
"373","Cherry County","rural",0,14.13,9.5,149.01,9.5,182.14
"374","Chesapeake city","suburban",92.39,15964.08,15037.63,34.58,30708.63,61837.31
"375","Cheshire County","rural",25.62,103.28,189.15,0,203.15,521.2
"376","Chester County","small/mid",0,735.5,348.26,0,1067.26,2151.02
"377","Chester County","suburban",230.58,17759.76,14998.45,34.47,26749.45,59772.71
"378","Chesterfield County","rural",12.46,4179.12,1432.3,0,5537.3,11161.18
"379","Chesterfield County","suburban",68.61,9471.15,4797.23,24.86,13540.23,27902.08
"380","Cheyenne County","rural",9.5,43.98,40.31,0,20.31,114.1
"381","Chickasaw County","rural",7.89,983.79,2389.25,0,3338.25,6719.18
"382","Chicot County","rural",0,21.25,361.96,0,361.96,745.17
"383","Childress County","rural",14.2,535,454.5,10.2,418.5,1432.4
"384","Chilton County","suburban",4.88,2236.02,1419.11,0,3495.11,7155.12
"385","Chippewa County","rural",0,153.67,225.76,1453.29,262.76,2095.48
"386","Chippewa County","small/mid",19,174.8,93.56,179.8,167.56,634.72
"387","Chisago County","suburban",34.5,38.5,9.5,51.1,31.5,165.1
"388","Chittenden County","small/mid",0,0,0,0,0,0
"389","Choctaw County","rural",0.93,2254,2427.87,320.36,4573.87,9577.03
