"","county_name","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"77","Audrain County",0,1377.78,656.15,0,1955.15,3989.08
"78","Audubon County",10.13,0,0,0,0,10.13
"79","Auglaize County",7.99,182,88.04,3.86,235.04,516.93
"80","Augusta County",22.95,702.83,1269.71,9.04,1839.71,3844.24
"81","Aurora County",0,0,0,43,0,43
"82","Austin County",0,958.5,713,0,1162,2833.5
"83","Autauga County",0,2970,1498.27,14.88,4435.27,8918.42
"84","Avery County",0,52.89,19.62,0,23.62,96.13
"85","Avoyelles Parish",96.4,4183.67,16448.03,25.6,18139.03,38892.73
"86","Baca County",0,66.2,0,0,0,66.2
"87","Bacon County",0,453.19,688.68,0,1114.68,2256.55
"88","Bailey County",0,722.5,356,0,132,1210.5
"89","Baker County",11.94,3812.38,2077.19,0,3245.19,9146.7
"90","Baldwin County",62.28,16370.08,8785.06,74.34,24612.06,49903.82
"91","Ballard County",0,144.87,135.78,0,244.78,525.43
"92","Baltimore city",131,253754.01,95584.05,393.64,348231.05,698093.75
"93","Baltimore County",362.1,47177.68,17863.16,127.48,64321.16,129851.58
"94","Bamberg County",0,2518.93,836.62,0,3320.62,6676.17
"95","Bandera County",0,314.5,158,0,0,472.5
"96","Banks County",0,307,147.5,0,334.5,789
"97","Banner County",0,20.29,1.36,7.85,1.36,30.86
"98","Bannock County",58.08,964.87,198.55,1159.03,198.55,2579.08
"99","Baraga County",0,0,0,0,0,0
"100","Barber County",0,0,0,0,0,0
"101","Barbour County",1.08,3775.43,1296.53,86.63,4944.53,10104.2
"102","Barnes County",0,16.5,26,36.87,26,105.37
"103","Barnstable County",2.89,934.82,1902.92,121.85,2230.92,5193.4
"104","Barnwell County",0,2715.09,1460,0,4146,8321.09
"105","Barren County",16.01,666.5,465.43,37.57,1035.43,2220.94
"106","Barron County",28.86,105.34,149.88,259.44,158.88,702.4
"107","Barrow County",71.04,2834.19,1967.9,0,4356.9,9230.03
"108","Barry County",0,303,137.5,0,235.5,676
"109","Bartholomew County",17.4,794,686,0,1013,2510.4
"110","Barton County",0,195.26,156.69,9.5,156.69,518.14
"111","Bartow County",20.25,4808.46,4317.7,0,8086.7,17233.11
"112","Bastrop County",17.69,3926.37,2929.56,5.95,3192.56,10072.13
"113","Bates County",0,398.86,506.96,0,519.96,1425.78
"114","Bath County",2.76,45.36,217.28,12.35,217.28,495.03
"115","Baxter County",0,0,19,0,19,38
"116","Bay County",181.25,18104.42,11100.34,104.32,26265.34,55755.67
"117","Bayfield County",0,0,36.05,352.5,36.05,424.6
"118","Baylor County",0,152.61,117.72,0,150.72,421.05
"119","Beadle County",5,94.23,60.62,142.79,97.62,400.26
"120","Bear Lake County",0,0,0,0,0,0
"121","Beaufort County",5.45,12476.73,5387.1,3.57,17019.1,34891.95
"122","Beauregard Parish",539.56,746.73,1660,0,2310,5256.29
"123","Beaver County",145.48,5092.34,4019.96,273.45,7883.96,17415.19
"124","Beaverhead County",0,19.05,0,9.56,0,28.61
"125","Becker County",3.73,25.7,52.59,1446.64,46.59,1575.25
"126","Beckham County",0,724.5,631,176.1,657,2188.6
"127","Bedford County",8.85,3873.53,5315.72,8.08,8604.72,17810.9
"128","Bee County",0,2904.17,3978,0,610,7492.17
"129","Belknap County",17.55,95.05,26.33,0,46.33,185.26
"130","Bell County",230.2,20661.96,14090.01,43.96,26411.01,61437.14
"131","Belmont County",9.5,206,244.6,0,450.6,910.7
"132","Beltrami County",21.12,54.6,59.11,2453.02,98.11,2685.96
"133","Ben Hill County",0,4574,1076,0,5485,11135
"134","Benewah County",0,0,0,109.96,0,109.96
"135","Bennett County",0,0,0,343.66,0,343.66
"136","Bennington County",0,0,0,0,0,0
"137","Benson County",7.23,10.81,13.38,347.07,13.38,391.87
"138","Bent County",0,388.32,297,0,33,718.32
"139","Benton County",407.05,5873.72,4381.62,485.22,3872.62,15020.23
"140","Benzie County",0,42.46,61.5,34.5,66.5,204.96
"141","Bergen County",857.84,21394,16795.77,56.72,26428.77,65533.1
"142","Berkeley County",28.54,7765.21,5456.48,9.88,12608.48,25868.59
"143","Berks County",354.77,21009.33,23305.12,44.35,17293.12,62006.69
"144","Berkshire County",67.11,1447.52,2146.11,6,2864.11,6530.85
"145","Bernalillo County",268.77,26726.8,5029.28,5159.54,5029.28,42213.67
"146","Berrien County",31.74,21755.76,7172.69,220.59,28610.69,57791.47
"147","Bertie County",0,1566.3,1034.12,4.72,2545.12,5150.26
"148","Bethel Census Area",0,18.75,0,73,0,91.75
"149","Bexar County",301.27,99157.8,135372.48,96.64,55277.48,290205.67
"150","Bibb County",64.9,32861.22,17217.81,4.13,49689.81,99837.87
"151","Bienville Parish",0,430.12,947.5,0,1302.5,2680.12
"152","Big Horn County",0,50.68,6.36,1245.22,6.36,1308.62
"153","Big Stone County",0,0,0,0,0,0
"154","Billings County",1.59,1.22,1.76,16.22,1.76,22.55
"155","Bingham County",1,756.84,31.56,273,31.56,1093.96
"156","Black Hawk County",26.66,6826.32,3346.58,72.36,9596.58,19868.5
"157","Blackford County",1,47.4,142.39,0,159.39,350.18
"158","Bladen County",0,1832.43,1326,101.72,2865,6125.15
"159","Blaine County",0,592.63,209.79,747.93,434.79,1985.14
"160","Blair County",18.66,2135.26,1521.04,16.39,3381.04,7072.39
"161","Blanco County",0,101.16,38.37,0,33.37,172.9
"162","Bland County",0.52,36.53,114.64,0,118.64,270.33
"163","Bleckley County",0,1517.5,545.5,0,2046.5,4109.5
"164","Bledsoe County",0,70.58,66,0,89,225.58
"165","Blount County",17.42,1771.35,1708.24,3,2886.24,6386.25
"166","Blue Earth County",15.94,372.99,417.61,22.04,556.61,1385.19
"167","Boise County",3.82,40.04,14.02,4.19,14.02,76.09
"168","Bolivar County",5,4062.11,6445.06,0,10317.06,20829.23
"169","Bollinger County",0,0,2.46,0,2.46,4.92
"170","Bon Homme County",0,23.23,0,17,0,40.23
"171","Bond County",0,192.74,162,0,333,687.74
"172","Bonner County",9.58,167.45,44.88,81.18,44.88,347.97
"173","Bonneville County",81.2,908.32,454.11,102.86,454.11,2000.6
"174","Boone County",168.44,16217.21,5713.8,53.3,18542.8,40695.55
"175","Borden County",0,23.35,5.46,0,5.46,34.27
"176","Bosque County",0,246.23,350.54,0,199.54,796.31
"177","Bossier Parish",152.78,3340.64,12934,27.11,15368,31822.53
"178","Botetourt County",7.24,585.65,260.48,3.55,814.48,1671.4
"179","Bottineau County",0,0,0,32.69,0,32.69
"180","Boulder County",336.36,3361.73,4183.49,301.72,1712.49,9895.79
"181","Boundary County",0,40.4,13.63,75,13.63,142.66
"182","Bourbon County",0,430.45,345.43,0,655.43,1431.31
"183","Bowie County",31.44,9781.23,9911.55,62,17749.55,37535.77
"184","Bowman County",5.13,3.98,5.52,51.51,5.52,71.66
"185","Box Butte County",0,68.02,108.92,341,25.92,543.86
"186","Box Elder County",46.85,621.16,350,65.5,93,1176.51
"187","Boyd County",21.08,480.19,477,9.01,911,1898.28
"188","Boyle County",16.14,1069.24,1318.5,16.14,2114.5,4534.52
"189","Bracken County",1.83,17.19,105.03,2.13,105.03,231.21
"190","Bradford County",23.32,2627.1,1727.2,9.53,3981.2,8368.35
"191","Bradley County",18.08,2127.63,1923.75,23.12,3205.75,7298.33
"192","Branch County",5.45,164.33,114.5,2.04,197.5,483.82
"193","Brantley County",0,150.87,93.51,0,200.51,444.89
"194","Braxton County",1.85,4.87,64.3,2.24,64.3,137.56
"195","Brazoria County",105.06,10835.64,11081.91,0,11971.91,33994.52
"196","Brazos County",44.76,13057.43,10641.94,16.52,17248.94,41009.59
"197","Breathitt County",0,42.32,151.69,0,151.69,345.7
"198","Breckinridge County",0,268.54,355.16,0,566.16,1189.86
"199","Bremer County",0,37.61,80.44,0,80.44,198.49
"200","Brevard County",37.28,23628.69,16585.08,92.21,37283.08,77626.34
"201","Brewster County",0,1016.2,246.76,0,35.76,1298.72
"202","Briscoe County",0,0,13,0,0,13
"203","Bristol Bay Borough",0,0,0,82.5,0,82.5
"204","Bristol city",9.86,964.45,729.5,0,1680.5,3384.31
"205","Bristol County",263.21,7348.21,7487.68,77.56,7592.68,22769.34
"206","Broadwater County",0,60.83,18.27,50.85,18.27,148.22
"207","Brooke County",8.89,52.36,225.53,3.31,258.53,548.62
"208","Brookings County",0,96.71,27.86,208.64,80.86,414.07
"209","Brooks County",20.58,4127.59,1988.98,6.64,2101.98,8245.77
"210","Broome County",110.35,7500.08,5613.37,33.24,11516.37,24773.41
"211","Broomfield County",12,142,162,9,28,353
"212","Broward County",1010.81,125912.22,94613.08,342.34,191573.08,413451.53
"213","Brown County",368.59,9035.15,7621.4,6516.38,10477.4,34018.92
"214","Brule County",0,0,24.48,225.5,24.48,274.46
"215","Brunswick County",1.48,3862.28,3478.94,152.42,6865.94,14361.06
"216","Bryan County",0,1091.59,777.34,631.05,1647.34,4147.32
"217","Buchanan County",1.7,3966.84,1613.9,47.3,5082.9,10712.64
"218","Buckingham County",0,713,0,0,713,1426
"219","Bucks County",289.47,9401.95,9496.6,78.31,15762.6,35028.93
"220","Buena Vista city",4.03,50.48,103.32,0,140.32,298.15
"221","Buena Vista County",75,227.5,150,64.96,94,611.46
"222","Buffalo County",87.87,330.95,532.86,47.54,295.86,1295.08
"223","Bullitt County",9.41,213.5,592.22,0,705.22,1520.35
"224","Bulloch County",15.14,8524.41,6431.31,46.37,14665.31,29682.54
"225","Bullock County",0,1694,796,0,2490,4980
"226","Buncombe County",49.6,8282.69,4134.29,286.67,11214.29,23967.54
"227","Bureau County",0,229.83,572.55,0,184.55,986.93
"228","Burke County",63.95,5268.79,3014.71,17.6,7911.71,16276.76
"229","Burleigh County",20.86,405.84,375.21,3007.99,498.21,4308.11
"230","Burleson County",0,1291.1,833.15,0,1647.15,3771.4
"231","Burlington County",229.53,11099.83,9197.13,34.75,18393.13,38954.37
"232","Burnet County",2,1003.5,816,5.82,468,2295.32
"233","Burnett County",102.48,29.64,28.68,383.67,32.68,577.15
"234","Burt County",0,25.69,13.31,21.11,13.31,73.42
"235","Butler County",176.06,10464.49,9475.08,70.51,17591.08,37777.22
"236","Butte County",469.38,5333.18,4617.54,1421.54,4897.54,16739.18
"237","Butts County",0,2503,1343.58,0,3470.58,7317.16
"238","Cabarrus County",13.38,6546.02,3697.86,55.84,9457.86,19770.96
"239","Cabell County",6.02,1492.34,847.52,4.63,2271.52,4622.03
"240","Cache County",243.94,1398.5,839.5,154.33,225.5,2861.77
"241","Caddo County",0,721.5,619.5,3039,984.5,5364.5
"242","Caddo Parish",90.72,12624.31,27208.61,50.75,39460.61,79435
"243","Calaveras County",37.31,202.76,225.6,219.93,34.6,720.2
"244","Calcasieu Parish",133.47,5360.82,17045.72,31.51,21508.72,44080.24
"245","Caldwell County",168.4,5062.39,5650.35,0,6010.35,16891.49
"246","Caldwell Parish",0,237.33,1714.5,0,1918.5,3870.33
"247","Caledonia County",0,0,0,0,0,0
"248","Calhoun County",503.86,28916.55,15285.45,168.77,40400.45,85275.08
"249","Callahan County",0,90.35,65,0,15,170.35
"250","Callaway County",8.56,1477.8,635.86,0,2034.86,4157.08
"251","Calloway County",9.5,545.5,723.5,19,1214.5,2512
"252","Calumet County",47.73,159.5,210.5,85.92,226.5,730.15
"253","Calvert County",4.92,3464.95,2155.52,0,5579.52,11204.91
"254","Camas County",0,0,0,0,0,0
"255","Cambria County",17.24,2807.15,3580.63,3.28,6036.63,12444.93
"256","Camden County",415.71,63426.19,46644.54,74.52,81682.54,192243.5
"257","Cameron County",34.04,27789.43,27715.03,18.15,591.03,56147.68
"258","Cameron Parish",0,94.62,130.5,0,191.5,416.62
"259","Camp County",0,858,303.33,0,1033.33,2194.66
"260","Campbell County",34.04,4501.01,6076.69,202.89,9599.69,20414.32
"261","Canadian County",16.3,1783.5,907,995.98,1510,5212.78
"262","Candler County",0,1476.5,525,0,1831,3832.5
"263","Cannon County",0,75,47.31,0,122.31,244.62
"264","Canyon County",62.34,4321.43,145.88,111.85,145.88,4787.38
"265","Cape Girardeau County",0,4242.4,1897.79,0,5930.79,12070.98
"266","Cape May County",12.69,5147.15,3069.78,4.25,6387.78,14621.65
"267","Carbon County",140,826.65,1126.78,253.7,617.78,2964.91
"268","Caribou County",0,61.5,16.5,45,16.5,139.5
"269","Carlisle County",0.5,41.24,837.73,4.17,851.73,1735.37
"270","Carlton County",42.31,191.77,94.44,640.02,132.44,1100.98
"271","Caroline County",106.83,5050.63,5076.37,9.33,9231.37,19474.53
"272","Carroll County",154.74,12661.61,13811.01,42.84,25127.01,51797.21
"273","Carson City",46.12,487.53,994.91,378.66,374.91,2282.13
"274","Carson County",0,204.73,303.19,56.86,172.19,736.97
"275","Carter County",51.05,4870.07,1792.44,696.21,6177.44,13587.21
"276","Carteret County",65.2,1437,738,16,2059,4315.2
"277","Carver County",162.14,583.5,423,26.05,422,1616.69
"278","Cascade County",129.94,742.61,451.5,2825.35,451.5,4600.9
"279","Casey County",0,125,559,0,555,1239
"280","Cass County",107.26,6667.08,4530.08,3339.59,9095.08,23739.09
"281","Cassia County",14.46,869.38,27.9,46.77,27.9,986.41
"282","Castro County",0,429,706.68,0,133.68,1269.36
"283","Caswell County",0,521.5,635.5,0,1127.5,2284.5
"284","Catahoula Parish",9.53,378.86,8928.5,0,9229.5,18546.39
"285","Catawba County",313.19,3721.37,2647.26,75.05,5719.26,12476.13
"286","Catoosa County",0,703.84,425.85,0,1031.85,2161.54
"287","Catron County",0,48.5,0,12.42,0,60.92
"288","Cattaraugus County",0,707.29,786.93,649.49,1219.93,3363.64
"289","Cavalier County",0,0,0,0,0,0
"290","Cayuga County",27.53,2496.41,1269,26.4,3043,6862.34
"291","Cecil County",15.72,2281.66,1687.4,18.86,3741.4,7745.04
"292","Cedar County",0,44.13,178,0,178,400.13
"293","Centre County",22.5,993.92,629.5,0,1476.5,3122.42
"294","Cerro Gordo County",0,369.73,300.5,0,471.5,1141.73
"295","Chaffee County",0,208,161.5,9.5,30.5,409.5
"296","Chambers County",9.5,7015.45,3762.83,0,10005.83,20793.61
"297","Champaign County",37.56,16132.39,4870.13,17.88,20411.13,41469.09
"298","Chariton County",7.56,110.24,66.5,0,157.5,341.8
"299","Charles City County",11.81,578.54,1757.82,3.77,2209.82,4561.76
"300","Charles County",48.11,12145.6,6551.18,36.1,18561.18,37342.17
"301","Charles Mix County",0,24.04,23.25,1126.69,23.25,1197.23
"302","Charleston County",129.87,42111.31,26908.13,106.99,67044.13,136300.43
"303","Charlevoix County",50.79,35.68,0,131.5,19,236.97
"304","Charlotte County",70.61,4587.86,3758.5,7.41,6915.5,15339.88
"305","Charlottesville city",0,5301,14,0,5301,10616
"306","Charlton County",0,789,99,0,888,1776
"307","Chase County",49.71,864.88,428.18,0,428.18,1770.95
"308","Chatham County",130.21,56474.22,31026.03,39.41,85922.03,173591.9
"309","Chattahoochee County",0,69,0,0,69,138
"310","Chattooga County",0,1252.57,395,0,1516,3163.57
"311","Chautauqua County",18.78,2429.55,2487.24,88.81,3069.24,8093.62
"312","Chaves County",88.91,4096.63,395.93,105.69,395.93,5083.09
"313","Cheatham County",0,277.24,198,0,405,880.24
"314","Cheboygan County",0,39,69.72,154.81,108.72,372.25
"315","Chelan County",40.57,1769.1,1598.98,683.35,184.98,4276.98
"316","Chemung County",25.32,3684.11,3050.92,13,6070.92,12844.27
"317","Chenango County",0,313.73,331.5,0,365.5,1010.73
"318","Cherokee County",95.75,12546.61,8459.77,1615.98,17771.77,40489.88
"319","Cherry County",0,14.13,9.5,149.01,9.5,182.14
"320","Chesapeake city",92.39,15964.08,15037.63,34.58,30708.63,61837.31
"321","Cheshire County",25.62,103.28,189.15,0,203.15,521.2
"322","Chester County",230.58,18495.26,15346.71,34.47,27816.71,61923.73
"323","Chesterfield County",81.07,13650.27,6229.53,24.86,19077.53,39063.26
"324","Cheyenne County",9.5,43.98,40.31,0,20.31,114.1
"325","Chickasaw County",7.89,983.79,2389.25,0,3338.25,6719.18
"326","Chicot County",0,21.25,361.96,0,361.96,745.17
"327","Childress County",14.2,535,454.5,10.2,418.5,1432.4
"328","Chilton County",4.88,2236.02,1419.11,0,3495.11,7155.12
"329","Chippewa County",19,328.47,319.32,1633.09,430.32,2730.2
"330","Chisago County",34.5,38.5,9.5,51.1,31.5,165.1
"331","Chittenden County",0,0,0,0,0,0
"332","Choctaw County",0.93,2254,2427.87,320.36,4573.87,9577.03
"333","Chouteau County",0,109.31,12.41,147.61,12.41,281.74
"334","Chowan County",0,376.87,554.1,0,907.1,1838.07
"335","Christian County",82.26,7409.93,7347.39,2,14059.39,28900.97
"336","Churchill County",24.7,204.88,293.09,476.5,119.09,1118.26
"337","Cibola County",0,78,0,14.76,0,92.76
"338","Cimarron County",0,63.26,32,0,0,95.26
"339","Citrus County",139.49,2571.85,2367.36,2.99,3542.36,8624.05
"340","Clackamas County",244.52,1668.11,1873.28,295.37,1515.28,5596.56
"341","Claiborne County",0,639.78,442.25,0,1045.25,2127.28
"342","Claiborne Parish",0,1232.41,7689.8,0,8589.8,17512.01
"343","Clallam County",18.43,334.65,217.5,794.34,185.5,1550.42
"344","Clare County",9.5,233.15,1018.92,72.17,1018.92,2352.66
"345","Clarendon County",0,5022,1496.5,0,6361.5,12880
"346","Clarion County",0,128.47,127.14,15.52,193.14,464.27
"347","Clark County",6675.15,76323.35,77542.49,2514.05,102710.49,265765.53
"348","Clarke County",45.55,16562.29,13628.26,41.76,29454.26,59732.12
"349","Clatsop County",0,136.5,287.33,43.56,42.33,509.72
"350","Clay County",99.24,14532.15,9627.39,761.02,20327.39,45347.19
"351","Clayton County",572.71,29858.32,30874.06,88.53,57289.06,118682.68
"352","Clear Creek County",0,509.59,140.85,9.5,117.85,777.79
"353","Clearfield County",14.29,343.02,325.18,0,590.18,1272.67
"354","Clearwater County",21.6,124.89,53.58,446.59,53.58,700.24
"355","Cleburne County",0,384.69,202.5,0,490.5,1077.69
"356","Clermont County",13.62,419.39,515.97,0,803.97,1752.95
"357","Cleveland County",78.26,7534.99,6327.25,985.32,12803.25,27729.07
"358","Clinch County",0,451,144.21,0,595.21,1190.42
"359","Clinton County",478.25,4012.38,5597.31,223.52,7358.31,17669.77
"360","Cloud County",0,46.64,61.5,0,61.5,169.64
"361","Coahoma County",0,4310.93,3327.09,0,7629.09,15267.11
"362","Coal County",0,10,20.5,179.76,26.5,236.76
"363","Cobb County",547.33,40017.24,33540.95,48.05,66109.95,140263.52
"364","Cochise County",71.62,3881.71,4893.18,192.77,1292.18,10331.46
"365","Cochran County",0,153.5,166.52,0,52.52,372.54
"366","Cocke County",0,495,249.59,0,676.59,1421.18
"367","Coconino County",36.32,2483.37,2552.94,7332.49,1219.94,13625.06
"368","Codington County",0.67,127.21,21.54,676.63,81.54,907.59
"369","Coffee County",48.18,9976.59,6025.91,14.9,15530.91,31596.49
"370","Coffey County",0,45.08,30.2,68.92,30.2,174.4
"371","Coke County",0,8,30,0,8,46
"372","Colbert County",0,2998.2,1261.5,0,4122.5,8382.2
"373","Cole County",0,3855.5,1004.5,20,4759.5,9639.5
"374","Coleman County",0,119.63,257.39,0,119.39,496.41
"375","Coles County",12.01,704,547.29,0,1145.29,2408.59
"376","Colfax County",2.31,959.24,305.57,25.21,222.57,1514.9
"377","Colleton County",0,4491.26,1731.07,45.88,6143.07,12411.28
"378","Collier County",1,13563.82,8926.07,86.51,8906.07,31483.47
"379","Collin County",366.55,10949.17,10376.24,31.56,12265.24,33988.76
"380","Collingsworth County",0,177.25,314.25,0,150.25,641.75
"381","Colonial Heights city",26.44,1929.41,3954.52,8.38,5600.52,11519.27
"382","Colorado County",0,1953.28,1419.38,0,2026.38,5399.04
"383","Colquitt County",117.15,7049.67,7275.87,0,13445.87,27888.56
"384","Columbia County",214.28,13187.24,9395.48,265.14,20412.48,43474.62
"385","Columbiana County",0,324.72,765.5,0,1056.5,2146.72
"386","Columbus County",0,3301.5,1749.67,115,4866.67,10032.84
"387","Colusa County",45.86,1083.57,877.68,72.1,167.68,2246.89
"388","Comal County",103.02,3257.52,3434.97,32.71,763.97,7592.19
"389","Comanche County",146.58,10043.75,4950.35,2129.75,12397.35,29667.78
"390","Concho County",6.3,191.77,33.17,0,14.17,245.41
"391","Concordia Parish",58.68,1281.51,8635.43,27.39,9464.43,19467.44
"392","Conecuh County",0,1676,859.85,0,2535.85,5071.7
"393","Conejos County",0,583.55,108,11.65,1,704.2
"394","Contra Costa County",1768.71,37049.91,26849.48,825.98,45760.48,112254.56
"395","Converse County",0,129.5,46.49,27.5,38.49,241.98
"396","Conway County",0,30.5,228,0,228,486.5
"397","Cook County",1314.27,532135.25,305967.13,590.01,716531.13,1556537.79
"398","Cooke County",35.98,1231.26,877.34,39.46,1421.34,3605.38
"399","Cooper County",0,923,29,0,929,1881
"400","Coos County",20.45,248.02,263.15,138.95,129.15,799.72
"401","Coosa County",0,994.73,765,0,1742,3501.73
"402","Copiah County",0,2354.45,1378.5,0,3701.5,7434.45
"403","Corson County",0,36.68,0,0,0,36.68
"404","Cortland County",0,473.5,389.72,8,685.72,1556.94
"405","Coryell County",13.11,1816.26,1265.68,21.54,2256.68,5373.27
"406","Coshocton County",1,141.56,103.65,0,210.65,456.86
"407","Costilla County",0,149.99,51.2,0,22.2,223.39
"408","Cottle County",0,66,44,0,72,182
"409","Cotton County",0,180,175,177,215,747
"410","Cottonwood County",30.95,60.94,30,9.5,0,131.39
"411","Covington city",1.53,9.33,393.3,1.05,393.3,798.51
"412","Covington County",0,4001.96,1710.43,0,5601.43,11313.82
"413","Coweta County",34.39,8590.16,7665.67,15.46,15619.67,31925.35
"414","Cowley County",10.86,139.7,321.5,67.68,321.5,861.24
"415","Cowlitz County",90.01,1085.19,1957.94,605.86,682.94,4421.94
"416","Craig County",1.12,288.08,232.66,219.21,457.66,1198.73
"417","Craighead County",44.17,338.38,2573.78,0,2573.78,5530.11
"418","Crane County",0,169.5,155.38,0,29.38,354.26
"419","Craven County",89.25,4870.38,3112.71,12.28,7749.71,15834.33
"420","Crawford County",53.93,2079.31,2008.58,109.31,3533.58,7784.71
"421","Creek County",61.19,1303.63,681.86,1257.36,1699.86,5003.9
"422","Crenshaw County",0,644.54,444.95,0,1049.95,2139.44
"423","Crisp County",17,6720,2836.5,1,8976.5,18551
"424","Crittenden County",0,141.71,5740.01,0,5740.01,11621.73
"425","Crockett County",0,2051,800.36,0,2115.36,4966.72
"426","Crook County",0,79,62.53,37.49,6.53,185.55
"427","Crosby County",0,259,261,0,133,653
"428","Cross County",0,9.5,703.5,0,703.5,1416.5
"429","Crow Wing County",14,193.43,255.5,727.4,360.5,1550.83
"430","Crowley County",0,35.5,98.9,0,14.9,149.3
"431","Culberson County",0,252.93,245.6,15.74,97.6,611.87
"432","Cullman County",3.43,541.83,499.96,8.94,849.96,1904.12
